dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
mnist,1,10,3,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.117,5.803241968154907
mnist,1,10,3,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.107,5.78831934928894
mnist,1,10,3,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.107,5.80133581161499
mnist,1,10,3,1,28,300,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.126,5.092291355133057
mnist,1,10,3,1,28,300,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.107,5.108055114746094
mnist,1,10,3,1,28,300,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.107,5.105456352233887
mnist,1,10,3,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.14400000000000002,6.629923105239867
mnist,1,10,3,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.58,6.626024961471558
mnist,1,10,3,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.49,6.630051374435425
mnist,1,10,3,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.115,6.832864046096803
mnist,1,10,3,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,6.820274114608765
mnist,1,10,3,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,6.8387205600738525
mnist,1,10,3,1,28,500,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11599999999999998,6.050582885742188
mnist,1,10,3,1,28,500,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,6.315565347671509
mnist,1,10,3,1,28,500,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,6.160107851028442
mnist,1,10,3,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.156,7.132547616958617
mnist,1,10,3,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.5379999999999999,7.087805032730103
mnist,1,10,3,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.478,7.141552448272705
mnist,1,10,3,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11499999999999998,7.335162878036499
mnist,1,10,3,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,7.329995632171631
mnist,1,10,3,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,7.341423988342285
mnist,1,10,3,1,28,600,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11699999999999999,6.6598169803619385
mnist,1,10,3,1,28,600,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,6.684197664260862
mnist,1,10,3,1,28,600,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,6.671132802963258
mnist,1,10,3,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.125,8.097609519958496
mnist,1,10,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.5740000000000002,8.095736026763916
mnist,1,10,3,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.4970000000000001,8.104621648788452
mnist,1,10,3,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.128,8.277204990386963
mnist,1,10,3,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11900000000000002,8.230627775192259
mnist,1,10,3,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11800000000000002,8.430402994155884
mnist,1,10,3,1,28,784,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.128,7.615455150604247
mnist,1,10,3,1,28,784,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11900000000000002,7.6034393310546875
mnist,1,10,3,1,28,784,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11800000000000002,7.629091262817383
