dataset,train_shot,x_dim,way,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,table_dataset,accuracy,duration_sec,z_dim
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4785714285714285,3918.9997079372406,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.48,3945.686244010925,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.6057142857142856,3854.2252848148346,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.6157142857142857,3920.5888628959656,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.6128571428571429,3814.8997428417206,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.6099999999999999,3855.097443342209,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.6042857142857142,4111.476935148239,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.6057142857142856,4100.183208942413,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.5328571428571428,16060.34635734558,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4928571428571428,16010.002895116806,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.49,16458.541459560394,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.57,16037.48749256134,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.5728571428571428,16139.608718156816,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.57,16224.394267082214,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.5499999999999999,15655.706228733065,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.5557142857142857,16178.400311470032,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.5499999999999999,16178.86503648758,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.5385714285714286,15875.144976615906,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4928571428571427,16213.644025087357,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.5014285714285713,16572.747793197632,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.5871428571428572,15710.925523757936,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.5842857142857142,16043.930377960203,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.5328571428571428,11051.342656373978,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4928571428571428,11078.640903949738,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.49,11187.318824529648,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.57,10941.315737485886,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.5728571428571428,11161.442078590391,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.57,11146.278117656708,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.5499999999999999,10987.91819524765,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.5557142857142857,11100.798565626144,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.5499999999999999,10899.041208267212,1000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.5385714285714286,11168.902886629105,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4928571428571427,11527.875920534134,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.5014285714285713,11586.589589834211,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.5871428571428572,11377.464423179626,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.5842857142857142,11449.860345840454,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.5785714285714285,11530.73516702652,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.57,3902.9262561798096,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.5657142857142856,2197.701684951782,2000.0
covtype,200,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.5685714285714285,2259.734700202942,2000.0
