dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec,full_test,table_dataset
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,1,0.8380000000000001,2963.446353197098,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,1,0.83,2933.0305457115173,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,1,0.8180000000000001,2950.215662240982,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,1,0.834,2926.499706745148,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,1,0.8320000000000001,2946.528247117996,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.634,4357.108129739761,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.59,3838.3763682842255,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.5840000000000001,3597.5057747364044,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.8219999999999998,3655.9261372089386,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.848,3665.1808075904846,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.8460000000000001,3674.533632516861,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.838,3690.287922382354,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.846,3672.980663299561,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.846,3664.1925382614136,,
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,2,0.6859999999999999,1687.9495811462402,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,2,0.648,1703.671592950821,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,2,0.65,1675.6988472938538,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,2,0.7920000000000001,1689.4431278705597,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,True,True,2,0.8240000000000001,1671.6237127780914,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,True,True,2,0.8220000000000001,1715.5994374752045,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,True,True,2,0.7900000000000001,1660.3966426849363,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,True,True,2,0.8340000000000001,1655.7572824954989,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,True,True,2,0.8320000000000001,1691.6015191078186,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,2,0.6560000000000001,2203.6194734573364,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,2,0.5800000000000001,2211.980976581573,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,2,0.584,2243.046061515808,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,2,0.7780000000000001,2238.996069908142,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,2,0.81,2277.127525806427,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,2,0.8119999999999998,2208.416252613068,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,2,0.7780000000000001,2235.7801854610443,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,2,0.7959999999999999,2207.364176750183,0.0,0.0
fashion_mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,2,0.7959999999999999,2210.4970898628235,0.0,0.0
