dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,loss,in_alphabet,add_rotations,channels,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
covtype,3,7,300,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5714285714285714,3426.498569011688,5e-05
covtype,3,7,300,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6185714285714285,3523.175046682358,0.001
covtype,3,7,300,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6042857142857143,3545.9311141967773,0.0001
covtype,3,7,300,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6014285714285714,3519.7909681797028,5e-05
covtype,3,7,300,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5942857142857142,3570.399120807648,0.001
covtype,3,7,300,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5857142857142856,3575.665976762772,0.0001
covtype,3,7,300,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5842857142857142,3553.056231021881,5e-05
covtype,3,7,300,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5985714285714286,3547.504245042801,0.001
covtype,3,7,300,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6,3561.850704908371,0.0001
covtype,3,7,300,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5971428571428571,3566.83287024498,5e-05
covtype,10,7,1,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.2499999999999999,92.87009739875792,0.001
covtype,10,7,1,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.2442857142857142,90.6610028743744,0.0001
covtype,10,7,1,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.2457142857142856,90.3327202796936,5e-05
covtype,10,7,1,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1557142857142857,89.96826267242432,0.001
covtype,10,7,1,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1614285714285714,91.52172040939332,0.0001
covtype,10,7,1,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1614285714285714,90.01024675369263,5e-05
covtype,10,7,1,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1442857142857142,91.1297242641449,0.001
