dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
omniglot,3,10,3,1,28,2000,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.285,128.07749605178833
omniglot,3,10,3,1,28,2000,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.282,87.20270848274231
omniglot,3,10,3,1,28,2000,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.229,36.79742455482483
omniglot,3,10,3,1,28,2000,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.201,36.52740526199341
omniglot,3,10,3,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.193,37.12108898162842
omniglot,10,10,5,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.583,108.4198718070984
omniglot,10,10,5,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.58,108.86959528923036
omniglot,10,10,5,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5770000000000001,104.33027577400208
omniglot,10,10,5,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.541,106.73149800300598
omniglot,10,10,5,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.539,104.10198760032654
omniglot,10,10,5,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.535,106.16852617263794
omniglot,10,10,5,1,28,784,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.499,105.26651382446288
omniglot,10,10,5,1,28,784,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.473,102.7178087234497
omniglot,10,10,5,1,28,784,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.448,107.46572017669678
omniglot,10,10,5,1,28,2000,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5850000000000001,130.99417543411255
omniglot,10,10,5,1,28,2000,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5940000000000001,132.60397005081177
omniglot,10,10,5,1,28,2000,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5930000000000001,131.54170179367063
omniglot,10,10,5,1,28,2000,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5640000000000001,132.78829336166382
omniglot,10,10,5,1,28,2000,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5579999999999999,132.87769484519958
omniglot,10,10,5,1,28,2000,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.551,128.71832656860352
omniglot,10,10,5,1,28,2000,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5369999999999999,127.53665614128111
omniglot,10,10,5,1,28,2000,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.497,127.59526991844176
omniglot,10,10,5,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.489,124.04362106323242
omniglot,10,10,3,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.495,68.47002530097961
omniglot,10,10,3,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.479,68.15088558197021
omniglot,10,10,3,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.474,68.92468500137329
omniglot,10,10,3,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.4469999999999999,69.79270529747009
omniglot,10,10,3,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.418,68.85063695907593
omniglot,10,10,3,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.4019999999999999,69.78888869285583
omniglot,10,10,3,1,28,784,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.3609999999999999,69.45480251312256
omniglot,10,10,3,1,28,784,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.307,69.09229040145874
