dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
svhn,3,10,100,1,32,2000,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.292,1619.631011247635
svhn,3,10,100,1,32,2000,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.368,1616.3435711860657
svhn,3,10,100,1,32,2000,True,adam,5e-05,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3649999999999999,1616.5576157569883
svhn,3,10,200,1,32,1024,True,adam,0.001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.175,2048.295755624771
svhn,3,10,200,1,32,1024,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1119999999999999,2054.1713247299194
svhn,3,10,200,1,32,1024,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.115,2050.608610868454
svhn,3,10,200,1,32,1024,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3589999999999999,2043.6074936389923
svhn,3,10,200,1,32,1024,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3929999999999999,2044.3026151657104
svhn,3,10,200,1,32,1024,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3859999999999999,2051.5931389331818
svhn,3,10,200,1,32,1024,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3359999999999999,2049.1310510635376
svhn,3,10,200,1,32,1024,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.461,2040.15446472168
svhn,3,10,200,1,32,1024,True,adam,5e-05,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.4590000000000001,2045.107419252396
svhn,3,10,200,1,32,2000,True,adam,0.001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.177,3194.005740642548
svhn,3,10,200,1,32,2000,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1069999999999999,3204.126889705658
svhn,3,10,200,1,32,2000,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1079999999999999,3207.2900042533875
svhn,3,10,200,1,32,2000,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3839999999999999,3206.4618997573853
svhn,3,10,200,1,32,2000,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3869999999999999,3185.920546770096
svhn,3,10,200,1,32,2000,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.373,3200.196377515793
svhn,3,10,200,1,32,2000,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3599999999999999,3194.3886816501617
svhn,3,10,200,1,32,2000,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.4569999999999999,3190.966679573059
