dataset,way,epochs,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
omniglot,5,2,5,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.15600000000000006,69.27255797386171
omniglot,5,2,5,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,64.87936234474182
omniglot,5,2,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.256,64.17744445800781
omniglot,5,2,5,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.264,64.33311700820923
omniglot,5,2,5,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,69.15849351882936
omniglot,5,2,5,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,69.27033472061157
omniglot,5,2,5,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,70.7828013896942
omniglot,5,2,5,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.276,64.86176705360414
omniglot,5,2,5,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.268,65.51374316215515
omniglot,5,2,5,1,28,1000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.268,65.63945388793945
omniglot,5,2,5,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,71.75606560707092
omniglot,5,2,5,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,71.46558904647826
omniglot,5,2,5,1,28,1000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,71.79112792015077
omniglot,5,2,5,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.208,79.4921727180481
