dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,3,10,200,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8496209999999997,94.78182792663574
mnist,10,10,200,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.903025,136.60277056694028
mnist,10,10,200,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8516710000000001,132.9891657829285
mnist,10,10,200,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.808914,124.76853013038635
mnist,10,10,200,1,28,64,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.902987,142.87314867973328
mnist,10,10,200,1,28,64,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.845211,141.232017993927
mnist,10,10,200,1,28,64,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.771886,141.84271907806396
mnist,10,10,200,1,28,256,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.9120939999999998,123.3818016052246
mnist,10,10,200,1,28,256,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8818670000000001,124.2673840522766
mnist,10,10,200,1,28,256,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8540420000000001,124.22393321990968
mnist,10,10,200,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.918314,142.97383618354797
mnist,10,10,200,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8915719999999999,146.53680539131162
mnist,10,10,200,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8660399999999999,153.67828059196472
mnist,10,10,200,1,28,1024,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.9242779999999996,136.05704426765442
mnist,10,10,200,1,28,1024,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8985160000000001,136.36246633529666
