dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,accuracy,duration_sec
mnist,1,10,10,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.15805999999999998,36.49578475952149
mnist,1,10,10,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.754256,36.47197890281677
mnist,1,10,10,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.12924799999999995,36.963505744934075
mnist,1,10,10,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10070599999999999,36.782135009765625
mnist,1,10,10,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.152296,37.20882153511048
mnist,1,10,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7516160000000002,37.17179870605469
mnist,1,10,10,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.13310800000000006,37.44366669654846
mnist,1,10,10,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10704999999999998,37.41082787513733
mnist,1,10,10,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.146754,37.81503891944885
mnist,1,10,10,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7535720000000002,37.810799598693855
mnist,1,10,10,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.12443599999999999,38.25924682617188
mnist,1,10,10,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.101962,38.3203980922699
mnist,1,10,10,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.13273800000000002,42.81102252006532
mnist,1,10,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7414639999999999,42.818286418914795
mnist,1,10,10,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10893,43.396580457687385
mnist,1,10,10,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.094734,43.52290916442871
mnist,2,10,1,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.125274,32.864888906478875
mnist,2,10,1,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.363392,32.68487620353699
mnist,2,10,1,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.106102,32.98914194107056
mnist,2,10,1,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.099924,32.9463095664978
mnist,2,10,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.129438,33.381300687789924
mnist,2,10,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.384336,33.31876349449158
mnist,2,10,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.11172,33.46895337104797
mnist,2,10,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10551000000000002,33.424697637557976
mnist,2,10,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.11025,34.10903882980347
mnist,2,10,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.39794,34.17459440231323
