dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,10,10,5,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.149,126.46969652175905
omniglot,10,10,5,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.11800000000000001,126.09521126747131
omniglot,10,10,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.579,173.0346872806549
omniglot,10,10,5,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.581,170.67909264564508
omniglot,10,10,5,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.585,169.36475205421448
omniglot,10,10,5,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5219999999999999,168.75914669036862
omniglot,10,10,5,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4270000000000001,169.0309991836548
omniglot,10,10,5,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.16499999999999995,169.2815659046173
omniglot,10,10,5,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.127,170.14778256416318
omniglot,10,10,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6699999999999998,208.813360452652
omniglot,10,10,10,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6849999999999998,209.57392716407776
omniglot,10,10,10,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6709999999999998,203.5874540805817
omniglot,10,10,10,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.597,189.3581290245056
omniglot,10,10,10,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.513,188.23269295692444
omniglot,10,10,10,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.18600000000000005,188.5359044075012
omniglot,10,10,10,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.141,189.60793828964242
omniglot,10,10,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.655,272.0475645065308
omniglot,10,10,10,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6890000000000001,273.78820633888245
omniglot,10,10,10,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.68,274.1019155979156
omniglot,10,10,10,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6300000000000001,273.4502956867218
omniglot,10,10,10,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5429999999999999,273.22347068786615
omniglot,10,10,10,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.23399999999999999,273.1540694236756
omniglot,10,10,10,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.15000000000000002,274.1989324092865
omniglot,3,3,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5433333333333333,7.798667192459106
omniglot,3,3,1,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5266666666666666,7.8236083984375
omniglot,3,3,1,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.51,7.776663541793822
omniglot,3,3,1,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4233333333333333,7.807507276535034
omniglot,3,3,1,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3900000000000001,7.774456977844237
omniglot,3,3,1,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3733333333333334,7.8422691822052
omniglot,3,3,1,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3733333333333334,7.815876483917236
omniglot,3,3,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.57,14.714586734771727
omniglot,3,3,1,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5633333333333332,14.80065107345581
omniglot,3,3,1,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5366666666666667,14.735044717788696
omniglot,3,3,1,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4233333333333333,14.912129402160645
omniglot,3,3,1,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3966666666666667,14.709893465042114
